Nomer, Name, Genres
5548,Down and Out in Beverly Hills (1986),Comedy|
5552,Revenge of Frankenstein, The (1958),Drama|Horror|Sci-Fi|
5556,FearDotCom (a.k.a. Fear.com) (a.k.a. Fear Dot Com) (2002),Crime|Horror|Thriller|
5560,À nous la liberté (Freedom for Us) (1931),Comedy|Musical|
5564,Swimfan (2002),Thriller|
5568,Johnny Dangerously (1984),Comedy|
5572,Barbershop (2002),Comedy|
5576,Children of the Century, The (Enfants du siècle, Les) (1999),Drama|Romance|
5581,Betsy's Wedding (1990),Comedy|
5585,Ernest Scared Stupid (1991),Comedy|
5589,Indian Summer (1993),Comedy|Drama|
5593,No Way to Treat a Lady (1968),Crime|Drama|Thriller|
5598,Surf Ninjas (1993),Comedy|
5602,Ladykillers, The (1955),Comedy|Crime|
5606,Society (1989),Horror|Mystery|
5610,Banger Sisters, The (2002),Comedy|Drama|
5614,His Secret Life (a.k.a. Ignorant Fairies, The) (Fate ignoranti, Le) (2001),Drama|Romance|
5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Adventure|Animation|Fantasy|
5622,Charly (2002),Comedy|Drama|Romance|
5626,Shanghai Ghetto (2002),Documentary|
5630,Red Dragon (2002),Crime|Mystery|Thriller|
5634,Pipe Dream (2002),Drama|
5638,Godzilla vs. Mothra (Mosura tai Gojira) (1964),Action|Adventure|Fantasy|Sci-Fi|
5642,Onion Field, The (1979),Drama|
5646,Valmont (1989),Drama|Romance|
5650,Strange Brew (1983),Comedy|
5654,Django 2: Django Strikes Again (1987),Western|
5658,Hanky Panky (1982),Comedy|
5662,Wrong Guy, The (1997),Comedy|Romance|Thriller|
5666,Rules of Attraction, The (2002),Comedy|Drama|Romance|Thriller|
5670,Comedian (2002),Comedy|Documentary|
5674,Safe Conduct (Laissez-Passer) (2002),Drama|War|
5678,Formula 51 (2001),Action|Comedy|Crime|Thriller|
5682,Grey Zone, The (2001),Drama|
5686,Russian Ark (Russkiy Kovcheg) (2002),Drama|Fantasy|War|
5690,Grave of the Fireflies (Hotaru no haka) (1988),Animation|Drama|War|
5694,Staying Alive (1983),Comedy|Drama|Musical|
5698,Times Square (1980),Drama|
5702,When Time Ran Out... (Day the World Ended, The) (1980),Action|Adventure|
5706,...All the Marbles (California Dolls, The) (1981),Action|Comedy|Drama|Romance|
5710,Banana Joe (1981),Comedy|
5714,Buddy Buddy (1981),Comedy|
5718,Carbon Copy (1981),Comedy|
5722,Goat, The (a.k.a. Knock On Wood) (Chèvre, La) (1981),Comedy|
5726,Dead & Buried (1981),Horror|
5730,Enter the Ninja (a.k.a. Ninja I) (1981),Action|Drama|
5734,Faces of Death 2 (1981),Documentary|Horror|
5738,Faces of Death 5 (1996),Documentary|Horror|
5742,First Monday in October (1981),Comedy|Drama|
5746,Galaxy of Terror (Quest) (1981),Action|Horror|Mystery|Sci-Fi|
5750,Going Ape! (1981),Comedy|
5754,Hand, The (1981),Drama|Horror|
5758,Horror Planet (a.k.a. Inseminoid) (1981),Action|Drama|Horror|Sci-Fi|
5762,Lili Marleen (1981),Drama|
5766,Madman (1981),Horror|
5770,Ms. 45 (a.k.a. Angel of Vengeance) (1981),Crime|Drama|
5774,Night of the Zombies (a.k.a. Batallion of the Living Dead) (1981),Horror|Sci-Fi|
5778,Pieces (Mil gritos tiene la noche) (One Thousand Cries Has the Night) (1982),Horror|Mystery|Thriller|
5782,Professional, The (Le professionnel) (1981),Action|Drama|Thriller|
5786,Paid in Full (2002),Action|Drama|
5790,Food of Love (Manjar de Amor) (2002),Drama|
5794,Good Work (Beau travail) (1999),Drama|
5798,Escanaba in da Moonlight (2001),Comedy|
5802,World of Henry Orient, The (1964),Comedy|
5806,Blackboards (Takhté Siah) (2000),Drama|
5810,8 Mile (2002),Drama|
5814,Rising Place, The (2002),Drama|
5818,Crime of Father Amaro, The (Crimen del padre Amaro, El) (2002),Drama|Romance|
5822,Mutant Action (Acción Mutante) (1993),Action|Comedy|Sci-Fi|
5826,Rio Grande (1950),Romance|Western|
5830,Mysterious Island (1961),Adventure|Sci-Fi|
5834,Fingers (1978),Drama|
5838,Madame Bovary (1991),Drama|
5842,Too Beautiful for You (Trop belle pour toi) (1989),Comedy|Drama|Romance|
5846,Raggedy Man (1981),Drama|
5850,Road Games (a.k.a. Roadgames) (1981),Thriller|
5854,Sharky's Machine (1981),Crime|Drama|Romance|
5858,Soupe aux Choux, La (1981),Comedy|
5862,Student Bodies (1981),Comedy|Horror|
5866,They All Laughed (1981),Comedy|
5870,Revolution #9 (2001),Thriller|
5874,Friday After Next (2002),Comedy|
5878,Talk to Her (Hable con Ella) (2002),Drama|Romance|
5882,Treasure Planet (2002),Adventure|Animation|Children|Sci-Fi|IMAX|
5886,I Love You Too (Ik ook Van Jou) (2001),Drama|Romance|
5890,Elling (2001),Comedy|Drama|
5894,Last Seduction II, The (1999),Crime|Drama|Thriller|
5898,Sword and the Sorcerer, The (1982),Action|Adventure|Fantasy|
5902,Adaptation (2002),Comedy|Drama|Romance|
5906,It All Starts Today (Ça commence aujourd'hui) (1999),Drama|
5910,Bolero (Uns et les autres, Les) (1981),Drama|War|
5914,Vernon, Florida (1981),Documentary|
5918,Alone in the Dark (1982),Horror|
5922,Attila (Attila Flagello di Dio) (1982),Action|
5926,Best Friends (1982),Comedy|Drama|Romance|
5930,Brimstone and Treacle (1982),Drama|Thriller|
5934,Challenge, The (1982),Action|
5938,Deathtrap (1982),Comedy|Crime|Mystery|Thriller|
5942,Hot Chick, The (2002),Comedy|
5946,Pellet (Bola, El) (2000),Drama|
5950,Jimmy Show, The (2002),Comedy|Drama|
5954,25th Hour (2002),Crime|Drama|
5958,Wild Thornberrys Movie, The (2002),Animation|Children|Comedy|
5962,Body of Evidence (1993),Drama|Thriller|
5966,Kiss Before Dying, A (1956),Film-Noir|Mystery|
5970,My Girl (1991),Comedy|Drama|Romance|
5974,Thief of Bagdad, The (1940),Adventure|Fantasy|
5978,Whistle Blower, The (1986),Thriller|
5982,Esther Kahn (2000),Drama|
5986,Fat City (1972),Drama|
5990,Pinocchio (2002),Children|Comedy|Fantasy|
5994,Nicholas Nickleby (2002),Drama|Romance|
5998,Doppelganger (1993),Horror|Thriller|
6002,Love Liza (2002),Drama|
6006,Just Married (2003),Comedy|Romance|
6010,Double Whammy (2001),Action|Comedy|Drama|
6014,National Security (2003),Action|Comedy|
6018,Kira's Reason: A Love Story (En Kærlighedshistorie) (2001),Drama|
6022,American Me (1992),Drama|
6026,Deathmaker, The (Totmacher, Der) (1995),Crime|Drama|
6030,Girls! Girls! Girls! (1962),Comedy|Musical|
6034,Paradise, Hawaiian Style (1966),Comedy|Musical|
6038,Tune in Tomorrow... (1990),Comedy|Romance|
6042,Blind Spot: Hitler's Secretary (Im toten Winkel - Hitlers Sekretärin) (2002),Documentary|
6046,Claudine (1974),Drama|
6050,Gus (1976),Children|Comedy|
6054,Moon-Spinners, The (1964),Children|Mystery|
6058,Final Destination 2 (2003),Horror|Thriller|
6062,Lost in La Mancha (2002),Documentary|
6066,Murder by Decree (1979),Mystery|Thriller|
6070,Tokyo Decadence (Topâzu) (1992),Drama|
6074,Endangered Species (1982),Mystery|Sci-Fi|Thriller|
6078,Firefox (1982),Action|Sci-Fi|Thriller|
6082,Grey Fox, The (1982),Romance|Western|
6086,I, the Jury (1982),Crime|Drama|Thriller|
6090,Kiss Me Goodbye (1982),Comedy|
6094,Liquid Sky (1982),Comedy|Sci-Fi|
6098,Marathon Family, The (Maratonci Trce Pocasni Krug) (1982),Comedy|
6102,Missionary, The (1982),Comedy|
6106,Mother Lode (1982),Adventure|
6110,Pandemonium (1982),Comedy|Horror|Mystery|
6114,Permanent Vacation (1982),Drama|
6118,Blind Chance (Przypadek) (1981),Drama|
6122,Richard Pryor Live on the Sunset Strip (1982),Comedy|Documentary|
6126,Veronika Voss (Sehnsucht der Veronika Voss, Die) (1982),Drama|
6130,Soldier, The (1982),Action|
6134,Starstruck (1982),Comedy|Musical|
6138,Tag: The Assassination Game (a.k.a. Everybody Gets It in the End) (1982),Action|Thriller|
6142,Time Walker (a.k.a. Being From Another Planet) (1982),Horror|Sci-Fi|
6146,To Begin Again (a.k.a. Starting Over) (Volver a Empezar) (1982),Drama|
6150,Wrong Is Right (a.k.a. The Man With the Deadly Lens) (1982),Drama|Thriller|
6154,Deliver Us from Eva (2003),Comedy|Romance|
6158,Jungle Book 2, The (2003),Animation|Children|
6162,Gerry (2002),Adventure|Drama|
6166,Dennis the Menace (1993),Comedy|
6170,Black Stallion, The (1979),Adventure|Children|Drama|
6174,Kinjite: Forbidden Subjects (1989),Crime|Thriller|
6178,Patch of Blue, A (1965),Drama|Romance|
6182,Thrill of It All, The (1963),Comedy|
6186,Gods and Generals (2003),Action|Drama|War|
6190,Lawless Heart, The (2003),Comedy|Drama|
6194,Till Human Voices Wake Us (2001),Drama|Romance|
6198,American Heart (1992),Crime|Drama|
6202,Late Marriage (Hatuna Meuheret) (2001),Comedy|Drama|Romance|
6206,Seize the Day (1986),Drama|
6210,Volcano High (Whasango) (2001),Action|Comedy|
6214,Irreversible (Irréversible) (2002),Crime|Drama|Mystery|Thriller|
6218,Bend It Like Beckham (2002),Comedy|Drama|Romance|
6222,Prozac Nation (2001),Drama|
6226,Lost Honor of Katharina Blum, The (Verlorene Ehre der Katharina Blum oder: Wie Gewalt entstehen und wohin sie führen kann, Die) (1975),Drama|
6230,Bang the Drum Slowly (1973),Drama|
6234,Equus (1977),Drama|Mystery|
6238,Green Card (1990),Comedy|Drama|Romance|
6242,Ringu (Ring) (1998),Horror|Mystery|Thriller|
6246,Talent for the Game (1991),Drama|
6250,Dreamcatcher (2003),Drama|Horror|Sci-Fi|Thriller|
6254,Awful Truth, The (1937),Comedy|Romance|
6258,Dames du Bois de Boulogne, Les (Ladies of the Bois de Boulogne, The) (Ladies of the Park) (1945),Drama|Romance|
6262,Unknown Pleasures (Ren xiao yao) (2002),Comedy|Drama|
6266,What a Girl Wants (2003),Comedy|Drama|Romance|
6270,Akira Kurosawa's Dreams (Dreams) (1990),Drama|Fantasy|
6274,Physical Evidence (1989),Crime|Thriller|
6278,Fellini: I'm a Born Liar (Fellini: Je Suis um Grand Menteur) (2001),Documentary|
6282,Cet amour-là (2001),Drama|Romance|
6286,Man Without a Past, The (Mies vailla menneisyyttä) (2002),Comedy|Crime|Drama|
6290,House of 1000 Corpses (2003),Horror|
6294,Bulletproof Monk (2003),Action|Adventure|Sci-Fi|
6298,Malibu's Most Wanted (2003),Comedy|Crime|
6302,Beginning of the End (1957),Sci-Fi|
6306,I Am Trying to Break Your Heart (2002),Documentary|
6310,Memories of Me (1988),Comedy|Drama|
6314,Undercover Blues (1993),Comedy|Crime|
6318,Marrying Man, The (Too Hot to Handle) (1991),Comedy|Romance|
6322,Confidence (2003),Crime|Thriller|
6326,City of Ghosts (2002),Crime|Drama|Thriller|
6330,People I Know (2002),Crime|Drama|
6334,Blue Car (2002),Drama|
6338,Daddy Day Care (2003),Children|Comedy|
6342,Trip, The (2002),Comedy|Drama|Romance|
6346,Absolute Beginners (1986),Musical|
6350,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),Action|Adventure|Animation|Children|Fantasy|Sci-Fi|
6354,Carpetbaggers, The (1964),Drama|
6358,Kiss Me Kate (1953),Comedy|Musical|Romance|
6368,Cinemania (2002),Documentary|
6373,Bruce Almighty (2003),Comedy|Drama|Fantasy|Romance|
6377,Finding Nemo (2003),Adventure|Animation|Children|Comedy|
6381,Three Marias, The (Três Marias, As) (2002),Drama|
6385,Whale Rider (2002),Drama|
6390,Silk Stockings (1957),Musical|
6394,Big Jake (1971),Western|
6398,Le Mans (1971),Action|Adventure|
6403,Swimmer, The (1968),Drama|
6407,Walk, Don't Run (1966),Comedy|Romance|
6411,Come September (1961),Comedy|
6415,Intervista (1987),Comedy|Drama|
6420,Night Passage (1957),Western|
6424,Oscar (1991),Comedy|Crime|Mystery|Romance|
6428,Two Mules for Sister Sara (1970),Comedy|War|Western|
6432,Courtship of Eddie's Father, The (1963),Comedy|
6436,This Boy's Life (1993),Drama|
6440,Barton Fink (1991),Drama|Thriller|
6445,Cloak and Dagger (1946),Drama|Romance|
6449,From the Terrace (1960),Drama|
6453,Man of Aran (1934),Documentary|
6457,Sink the Bismark! (1960),Action|Drama|War|
6461,Unforgiven, The (1960),Drama|Western|
6465,Jubilee (1977),Drama|
6469,Cahill U.S. Marshal (Cahill: United States Marshal) (Wednesday Morning) (1973),Western|
6473,Half Moon Street (1986),Drama|Thriller|
6477,Song of Bernadette, The (1943),Drama|
6481,Where the Heart Is (1990),Comedy|Drama|
6485,Rugrats Go Wild! (2003),Adventure|Animation|Children|Comedy|
6489,Loco Love (Mi Casa, Su Casa) (2002),Comedy|
6493,Alex and Emma (2003),Comedy|Drama|Romance|
6497,Is Paris Burning? (Paris brûle-t-il?) (1966),Drama|War|
6501,Strange Planet (1999),Comedy|Romance|
6505,Ed and His Dead Mother (1993),Comedy|Horror|
6509,Ali: Fear Eats the Soul (Angst essen Seele auf) (1974),Drama|Romance|
6513,Made for Each Other (1939),Comedy|Drama|Romance|
6517,Babe, The (1992),Drama|
6521,Main Event, The (1979),Comedy|
6525,Nuts (1987),Drama|
6529,Strange Bedfellows (1965),Comedy|
6533,What's Up, Doc? (1972),Comedy|
6537,Terminator 3: Rise of the Machines (2003),Action|Adventure|Sci-Fi|
6541,League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003),Action|Fantasy|Sci-Fi|
6545,I Capture the Castle (2003),Drama|Romance|
6549,How to Deal (2003),Comedy|Drama|Romance|
6553,Embalmer, The (Imbalsamatore, L') (2002),Drama|
6557,Born to Be Wild (1995),Adventure|Children|Comedy|Drama|
6561,Mouse That Roared, The (1959),Comedy|War|
6565,Seabiscuit (2003),Drama|
6569,Hotel (2001),Comedy|
6573,Avanti! (1972),Comedy|Drama|
6577,Kickboxer 2: The Road Back (1991),Action|Drama|
6581,Private Life of Sherlock Holmes, The (1970),Comedy|Drama|Mystery|
6585,White Lightning (1973),Action|Crime|Drama|
6589,Boys Life 4: Four Play (2003),Comedy|Drama|
6593,Freaky Friday (2003),Children|Comedy|Fantasy|
6597,Princess Blade, The (Shura Yukihime) (2001),Action|Sci-Fi|
6601,Big Trouble (1986),Comedy|
6605,Man in the Glass Booth, The (1975),Drama|
6609,Gospel According to St. Matthew, The (Vangelo secondo Matteo, Il) (1964),Drama|
6613,Day of the Dolphin, The (1973),Drama|
6617,Open Range (2003),Western|
6621,Backyard, The (2002),Documentary|
6625,Camp Nowhere (1994),Adventure|Children|Comedy|
6629,House of Wax (1953),Crime|Horror|Mystery|Thriller|
6633,Prince of Jutland (a.k.a. Royal Deceit) (1994),Drama|
6637,Thrashin' (1986),Action|Drama|
6641,Code Unknown (Code inconnu: Récit incomplet de divers voyages) (2000),Drama|
6645,THX 1138 (1971),Action|Adventure|Drama|Sci-Fi|
6649,Tunes of Glory (1960),Drama|
6653,Keep, The (1983),Horror|Thriller|
6657,Beast from 20,000 Fathoms, The (1953),Sci-Fi|
6661,Me & Isaac Newton (1999),Documentary|
6665,Dracula (1979),Horror|Romance|
6669,Ikiru (1952),Drama|
6673,Ay, Carmela! (¡Ay, Carmela!) (1990),Drama|War|
6677,Predictions of Fire (Prerokbe Ognja) (1996),Documentary|
6681,All the Little Animals (1998),Drama|Thriller|
6685,Marci X (2003),Comedy|Musical|
6689,Battle of Shaker Heights, The (2003),Comedy|Drama|Romance|
6693,Venus Boyz (2001),Documentary|
6697,Civil Brand (2002),Drama|
6701,Zero Day (2002),Drama|
6705,Party Monster (2003),Comedy|Crime|Drama|Thriller|
6709,Once Upon a Time in Mexico (2003),Action|Adventure|Crime|Thriller|
6713,Millennium Actress (Sennen joyû) (2001),Animation|Drama|Romance|
6717,Enlightenment Guaranteed (Erleuchtung Garantiert) (2000),Comedy|Drama|
6721,Once Upon a Time in China (Wong Fei Hung) (1991),Action|Adventure|Drama|
6725,Sgt. Pepper's Lonely Hearts Club Band (1978),Adventure|Musical|
6729,Bostonians, The (1984),Drama|Romance|
6733,I'm Going Home (Je rentre à la maison) (2001),Comedy|Drama|
6737,Super Sucker (2002),Comedy|
6741,God told Me To (1976),Crime|Horror|Mystery|Sci-Fi|Thriller|
6745,Shrimp on the Barbie, The (1990),Comedy|
6749,Prince and the Pauper, The (1937),Adventure|Drama|
6753,Secondhand Lions (2003),Children|Comedy|Drama|
6757,Demonlover (2002),Crime|Drama|Mystery|Thriller|
6761,Tibet: Cry of the Snow Lion (2002),Documentary|
6765,Under the Tuscan Sun (2003),Comedy|Drama|Romance|
6769,Mambo Italiano (2003),Comedy|
6773,Triplets of Belleville, The (Les triplettes de Belleville) (2003),Animation|Comedy|Fantasy|
6777,Judgment at Nuremberg (1961),Drama|
6781,Jacob the Liar (Jakob, der Lügner) (1975),Drama|
6785,Seven Brides for Seven Brothers (1954),Comedy|Musical|Romance|Western|
6789,Apartment, The (Appartement, L') (1996),Drama|Mystery|Romance|
6793,Beethoven (1992),Children|Comedy|Drama|
6797,Bugsy (1991),Crime|Drama|
6801,Common Wealth (Comunidad, La) (2000),Comedy|Thriller|
6805,Crying Freeman (1995),Action|Crime|Thriller|
6809,Tightrope (1984),Thriller|
6813,Ghost and Mr. Chicken, The (1966),Comedy|Romance|
6817,White Hunter, Black Heart (1990),Adventure|Drama|
6821,More American Graffiti (1979),Comedy|
6825,Reluctant Astronaut, The (1967),Comedy|
6829,Gun in Betty Lou's Handbag, The (1992),Comedy|Mystery|
6833,Debut, The (2000),Comedy|Drama|
6837,Love Affair (1939),Comedy|Drama|Romance|
6841,Article 99 (1992),Comedy|Drama|
6845,Chattahoochee (1989),Drama|
6849,Scrooge (1970),Drama|Fantasy|Musical|
6853,Campus Man (1987),Comedy|
6857,Ninja Scroll (Jûbei ninpûchô) (1995),Action|Adventure|Animation|Fantasy|
6861,Charlotte Sometimes (2002),Drama|Romance|
6865,Event, The (2003),Drama|
6869,Bus 174 (Ônibus 174) (2002),Crime|Documentary|
6873,Intolerable Cruelty (2003),Comedy|Romance|
6877,Girls Will Be Girls (2003),Comedy|
6881,Pieces of April (2003),Comedy|Drama|
6885,In the Cut (2003),Crime|Drama|Mystery|Romance|Thriller|
6889,Brother Bear (2003),Adventure|Animation|Children|
6893,Italian Job, The (1969),Action|Comedy|Crime|
6897,Unconditional Love (2002),Comedy|Drama|
6901,Men of Respect (1991),Crime|Drama|Thriller|
6906,That Was Then... This Is Now (1985),Drama|
6910,Kronos (a.k.a. Captain Kronos: Vampire Hunter) (1973),Horror|
6914,Preaching to the Perverted (1997),Comedy|Drama|
6918,Unvanquished, The (Aparajito) (1957),Drama|
6923,Sherlock Holmes and the Voice of Terror (1942),Crime|Mystery|War|
6927,Human Stain, The (2003),Drama|Romance|Thriller|
6931,Mail Order Bride (2003),Comedy|
6935,Revolution Will Not Be Televised, The (a.k.a. Chavez: Inside the Coup) (2003),Documentary|
6939,Gloomy Sunday (Ein Lied von Liebe und Tod) (1999),Drama|Romance|
6943,Love Forbidden (Défense d'aimer) (2002),Drama|
6947,Master and Commander: The Far Side of the World (2003),Adventure|Drama|War|
6951,Cat in the Hat, The (2003),Children|Comedy|
6955,Blindness (2003),Drama|Thriller|
6959,Timeline (2003),Action|Adventure|Sci-Fi|
6963,Devil's Playground (2002),Documentary|
6967,Dead of Night (1945),Horror|Mystery|
6971,Europa (Zentropa) (1991),Drama|Thriller|
6975,Funny Games (1997),Drama|Horror|Thriller|
6979,WarGames (1983),Drama|Sci-Fi|Thriller|
6983,Jane Eyre (1944),Drama|Romance|
6987,Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das) (1920),Crime|Fantasy|Horror|
6991,Greystoke: The Legend of Tarzan, Lord of the Apes (1984),Adventure|Drama|Romance|
6995,Hercules in New York (1970),Action|Comedy|Fantasy|
6999,Housesitter (1992),Comedy|Romance|
7003,Kafka (1991),Comedy|Drama|Mystery|Sci-Fi|Thriller|
7007,Last Boy Scout, The (1991),Action|Comedy|Crime|Drama|Thriller|
7011,Bullfighter, The (Matador) (1986),Comedy|Crime|Drama|
7015,Only the Lonely (1991),Comedy|Romance|
7019,Project X (1987),Comedy|Drama|
7023,Wedding Banquet, The (Xi yan) (1993),Comedy|Drama|Romance|
7027,Silverado (1985),Action|Western|
7031,Real McCoy, The (1993),Action|Crime|Drama|Thriller|
7035,Streets of Fire (1984),Action|Romance|
7039,Thunderheart (1992),Crime|Mystery|Thriller|
7043,Vivre sa vie: Film en douze tableaux (My Life to Live) (1962),Drama|
7047,Year of the Dragon (1985),Action|Crime|Drama|
7051,What's New, Pussycat (1965),Comedy|
7055,Swing Time (1936),Comedy|Musical|Romance|
7059,National Velvet (1944),Children|Drama|
7063,Aguirre: The Wrath of God (Aguirre, der Zorn Gottes) (1972),Adventure|Drama|
7067,Juliet of the Spirits (Giulietta degli spiriti) (1965),Comedy|Drama|Fantasy|Romance|
7071,Woman Under the Influence, A (1974),Drama|
7075,Court Jester, The (1956),Adventure|Comedy|Musical|
7079,Hunchback of Notre Dame, The (1939),Drama|
7083,Sweet Dreams (1985),Drama|
7087,Passage to India, A (1984),Adventure|Drama|
7091,Horse Feathers (1932),Comedy|
7095,Looking for Mr. Goodbar (1977),Drama|
7099,Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984),Adventure|Animation|Drama|Fantasy|Sci-Fi|
7103,Madhouse (1990),Comedy|
7107,Foul Play (1978),Comedy|Thriller|
7111,Ryan's Daughter (1970),Drama|Romance|
7115,Deep Red (Profondo rosso) (1975),Horror|Mystery|Thriller|
7119,Crazy People (1990),Comedy|
7123,Naked Lunch (1991),Drama|Fantasy|Mystery|Sci-Fi|
7127,Run (1991),Action|Drama|Thriller|
7131,Summer Place, A (1959),Drama|
7135,Shoot the Piano Player (Tirez sur le pianiste) (1960),Crime|Drama|Romance|Thriller|
7139,In America (2002),Drama|Romance|
7143,Last Samurai, The (2003),Action|Adventure|Drama|War|
7147,Big Fish (2003),Drama|Fantasy|Romance|
7151,Girl with a Pearl Earring (2003),Drama|Romance|
7155,Calendar Girls (2003),Comedy|
7159,Two Men Went to War (2003),Comedy|War|
7163,Paycheck (2003),Action|Sci-Fi|Thriller|
7167,Japanese Story (2003),Drama|
7171,Aileen: Life and Death of a Serial Killer (2003),Documentary|
7175,Torque (2004),Action|Crime|
7179,Wuthering Heights (1992),Drama|Romance|
7183,There's a Girl in My Soup (1970),Comedy|
7187,Beyond Therapy (1987),Comedy|
7191,Blame It on the Bellboy (1992),Comedy|
7195,Enforcer, The (1951),Crime|Drama|Film-Noir|
7199,Melvin Goes to Dinner (2003),Comedy|Drama|
7203,Final Cut (1998),Drama|
7207,Where the Boys Are (1960),Comedy|
7211,People Will Talk (1951),Comedy|Romance|
7215,To Have and Have Not (1944),Adventure|Drama|Romance|Thriller|War|
7219,They Drive by Night (1940),Drama|
7223,D.O.A. (1950),Drama|Film-Noir|Mystery|
7227,Trouble with Angels, The (1966),Comedy|
7231,Where Angels Go, Trouble Follows (1968),Comedy|
7235,Ichi the Killer (Koroshiya 1) (2001),Action|Comedy|Crime|Drama|Horror|Thriller|
7239,Marooned (1969),Drama|Sci-Fi|
7243,Intolerance: Love's Struggle Throughout the Ages (1916),Drama|
7247,Chitty Chitty Bang Bang (1968),Adventure|Children|Comedy|Fantasy|Musical|
7251,Where the Day Takes You (1992),Drama|
7255,Win a Date with Tad Hamilton! (2004),Comedy|Romance|
7259,You Got Served (2004),Drama|Musical|
7263,Miracle (2004),Drama|
7267,Who's the Man? (1993),Comedy|
7271,Just Between Friends (1986),Drama|
7275,Uptown Saturday Night (1974),Comedy|
7279,Wilby Conspiracy, The (1975),Thriller|
7283,Swing Shift (1984),Drama|
7287,Sailor Who Fell from Grace with the Sea, The (1976),Drama|
7291,Pontiac Moon (1994),Drama|
7295,After the Life (2002),Crime|Drama|
7299,Monsieur Ibrahim (Monsieur Ibrahim et les fleurs du Coran) (2003),Drama|
7303,Diary of Anne Frank, The (1959),Drama|War|
7307,Flesh & Blood (1985),Action|Adventure|Drama|War|
7311,Goodbye, Mr. Chips (1939),Drama|Romance|
7315,Against the Ropes (2004),Comedy|Drama|
7319,Club Dread (2004),Comedy|Horror|
7323,Good bye, Lenin! (2003),Comedy|Drama|
7327,Persona (1966),Drama|
7331,Serpent's Egg, The (Schlangenei, Das) (1977),Drama|Thriller|
7335,Pickup on South Street (1953),Film-Noir|
7339,Quartet (1981),Drama|Romance|
7343,Wisconsin Death Trip (1999),Documentary|
7347,Secret Window (2004),Mystery|Thriller|
7351,How to Draw a Bunny (2002),Documentary|
7355,Mr. Toad's Wild Ride (a.k.a. The Wind in the Willows) (1996),Adventure|Animation|Comedy|
7359,Walk Like a Man (1987),Comedy|
7363,Child I Never Was, The (Leben lang kurze Hosen Tragen, Ein) (2002),Crime|Drama|
7367,Ladykillers, The (2004),Comedy|Crime|
7371,Dogville (2003),Drama|Mystery|Thriller|
7375,Prince & Me, The (2004),Comedy|Romance|
7379,Alamo, The (2004),Drama|War|Western|
7383,Shade (2003),Crime|Drama|Thriller|
7387,Dawn of the Dead (1978),Action|Drama|Horror|
7391,Mother, Jugs & Speed (1976),Comedy|
7395,Cheaper by the Dozen (1950),Comedy|Drama|
7399,Ned Kelly (1970),Action|Crime|Western|
7403,Food of the Gods II (1989),Horror|Sci-Fi|
7407,Africa Screams (1949),Adventure|Comedy|
7411,Munchies (1987),Comedy|Horror|
7415,Late Show, The (1977),Comedy|Crime|Drama|Mystery|
7419,After Hours (1985),Comedy|Thriller|
7437,Connie and Carla (2004),Comedy|
7441,Thousand Clouds of Peace, A (Mil nubes de paz cercan el cielo, amor, jamás acabarás de ser amor) (2003),Drama|Romance|
7445,Man on Fire (2004),Action|Crime|Drama|Mystery|Thriller|
7449,Godsend (2004),Drama|Horror|Thriller|
7453,New York Minute (2004),Action|Adventure|Comedy|
7457,Breakin' All the Rules (2004),Comedy|Romance|
7461,Strayed (égarés, Les) (2003),Drama|Romance|
7477,Eye See You (D-Tox) (2002),Horror|Thriller|
7481,Enemy Mine (1985),Adventure|Drama|Sci-Fi|
7485,Good Morning (Ohayô) (1959),Comedy|
7489,Nasty Girl, The (schreckliche Mädchen, Das) (1990),Comedy|Drama|
7493,Three Faces of Eve, The (1957),Drama|
7523,Desperate Hours (1990),Crime|Drama|Thriller|
7560,Fail-Safe (1964),Drama|Thriller|War|
7564,Kwaidan (Kaidan) (1964),Horror|
7568,Love Life (2001),Comedy|Romance|
7572,Wit (2001),Drama|
7578,Midnight (1939),Comedy|Romance|
7582,Old Acquaintance (1943),Drama|
7586,Soldier of Orange (a.k.a. Survival Run) (Soldaat van Oranje) (1977),Drama|Thriller|War|
7615,Desert Hearts (1985),Drama|
7619,Miracle Worker, The (1962),Drama|
7623,If You Only Knew (2000),Comedy|Romance|
7627,Just Write (1997),Comedy|
7639,Nice Guys Sleep Alone (1999),Comedy|Romance|
7647,Noises Off... (1992),Comedy|
7657,Versus (2000),Action|Comedy|Fantasy|Horror|
7698,China Syndrome, The (1979),Drama|Thriller|
7702,Bells of St. Mary's, The (1945),Drama|
7706,Animal Crackers (1930),Comedy|Musical|
7714,Camelot (1967),Drama|Musical|Romance|
7723,Good Guys Wear Black (1978),Action|
7727,Protocol (1984),Comedy|
7739,Virtual Sexuality (1999),Comedy|Drama|
7748,Pierrot le fou (1965),Crime|Drama|
7752,Seven Girlfriends (1999),Comedy|Romance|
7757,Jason and the Argonauts (1963),Action|Adventure|Fantasy|
7762,Tinker, Tailor, Soldier, Spy (1979),Drama|Thriller|
7766,Throne of Blood (Kumonosu jô) (1957),Action|Drama|Thriller|War|
7770,Treasure Island (1990),Adventure|
